Papel,Segmento,Cotação,FFO_Yield,Dividend_Yield,P/VP,Valor_de_Mercado,Liquidez,Qtd_de_imóveis,Preço_do_m2,Aluguel_por_m2,Cap_Rate,Vacância_Média
KFOF11,Títulos e Val. Mob.,"81,71","7,56%","10,23%","0,87",573.160.000,1.340.710,0,"0,00","0,00","0,00%","0,00%"
KISU11,Títulos e Val. Mob.,"7,56","18,53%","10,19%","0,88",334.122.000,645.61,0,"0,00","0,00","0,00%","0,00%"
KIVO11,Títulos e Val. Mob.,"72,28","12,28%","15,05%","0,81",160.659.000,481.729,0,"0,00","0,00","0,00%","0,00%"
KNCA11,Títulos e Val. Mob.,"100,00","10,62%","11,00%","0,97",2.159.990.000,2.831.040,0,"0,00","0,00","0,00%","0,00%"
KNCR11,Títulos e Val. Mob.,"104,66","10,81%","9,83%","1,03",7.272.750.000,16.089.400,0,"0,00","0,00","0,00%","0,00%"
KNHF11,Híbrido,"93,28","7,43%","10,25%","0,93",1.834.190.000,3.619.070,2,"23.040,10","312,25","1,36%","0,00%"
KNHY11,Títulos e Val. Mob.,"103,98","6,98%","10,81%","1,03",2.929.070.000,6.943.500,0,"0,00","0,00","0,00%","0,00%"
KNIP11,Títulos e Val. Mob.,"92,01","13,31%","9,55%","0,96",7.367.990.000,8.867.280,0,"0,00","0,00","0,00%","0,00%"
KNRE11,Residencial,"0,29","-36,65%","0,00%","0,36",5.378.680,4.919,0,"0,00","0,00","0,00%","0,00%"
KNRI11,Híbrido,"138,78","6,80%","7,57%","0,86",3.914.160.000,9.055.610,19,"5.199,87","377,68","7,26%","0,16%"
KNSC11,Títulos e Val. Mob.,"9,13","8,78%","9,33%","1,02",1.212.080.000,3.591.570,0,"0,00","0,00","0,00%","0,00%"
KNUQ11,Títulos e Val. Mob.,"104,17","4,97%","10,44%","1,03",1.595.100.000,2.581.330,0,"0,00","0,00","0,00%","0,00%"
KOPA11,Títulos e Val. Mob.,"988,90","6,28%","9,65%","0,99",350.740.000,219.705,0,"0,00","0,00","0,00%","0,00%"
KORE11,Títulos e Val. Mob.,"95,48","8,60%","10,45%","0,90",918.995.000,2.021.520,4,"14.704,00","855,02","5,81%","1,72%"
LASC11,Shoppings,"111,00","3,39%","5,99%","0,88",326.373.000,699.203,2,"15.598,10","1.377,52","8,83%","2,30%"
LFTT11,Residencial,"10,50","-30,06%","0,00%","0,45",34.282.500,25.012,107,"3.218,13","0,95","0,03%","0,00%"
LGCP11,Logística,"82,95","11,25%","9,10%","0,83",374.279.000,259.855,5,"3.868,54","375,13","9,70%","0,84%"
LIFE11,Outros,"10,23","12,74%","12,68%","1,02",238.035.000,500.815,0,"0,00","0,00","0,00%","0,00%"
LSAG11,Títulos e Val. Mob.,"79,26","17,86%","15,56%","0,81",79.999.800,208.602,0,"0,00","0,00","0,00%","0,00%"
LSPA11,Outros,"34,18","126,92%","47,28%","1,05",13.825.800,28.765,0,"0,00","0,00","0,00%","0,00%"
LUGG11,Residencial,"72,82","13,76%","7,91%","0,62",82.338.000,28.876,5,"3.138,03","599,54","19,11%","2,33%"
LVBI11,Logística,"106,21","7,56%","8,92%","0,85",1.711.950.000,4.596.730,8,"22,52","2,28","10,14%","0,00%"
MALL11,Híbrido,"100,38","19,01%","8,85%","0,84",1.302.230.000,2.970.830,10,"3.879,50","518,64","13,37%","3,64%"
MANA11,Títulos e Val. Mob.,"9,04","3,70%","11,63%","0,95",339.327.000,1.184.340,0,"0,00","0,00","0,00%","0,00%"
MAXR11,Híbrido,"68,96","12,94%","10,80%","0,53",77.625.200,186.068,8,"1.213,76","162,29","13,37%","23,23%"
MCCI11,Títulos e Val. Mob.,"86,00","11,06%","10,96%","0,91",1.458.560.000,3.381.040,0,"0,00","0,00","0,00%","0,00%"
MCHY11,Títulos e Val. Mob.,"8,81","6,46%","14,55%","0,91",983.186.000,4.399.510,0,"0,00","0,00","0,00%","0,00%"
MFAI11,Híbrido,"66,00","9,47%","7,96%","0,91",25.686.200,62.798,0,"0,00","0,00","0,00%","0,00%"
MFCR11,Híbrido,"23,69","27,10%","12,29%","0,86",2.398.140,4.684,0,"0,00","0,00","0,00%","0,00%"
MFII11,Híbrido,"99,79","5,51%","11,86%","0,93",520.145.000,1.147.520,5,"230,85","0,00","0,00%","0,00%"
MGHT11,Híbrido,"18,97","31,36%","22,67%","0,37",24.922.500,91.519,1,"2.380,03","806,17","33,87%","0,00%"
MINT11,Outros,"95,02","13,14%","4,72%","0,85",49.410.400,131.974,4,"3.860,39","502,98","13,03%","0,00%"
MXRF11,Híbrido,"9,86","7,71%","10,59%","1,01",4.312.030.000,15.851.200,3,"98.728,60","0,00","0,00%","0,00%"
NAVT11,Títulos e Val. Mob.,"85,00","10,79%","15,45%","0,95",52.044.000,112.367,0,"0,00","0,00","0,00%","0,00%"
NCHB11,Títulos e Val. Mob.,"8,70","13,78%","12,66%","0,87",132.948.000,184.68,0,"0,00","0,00","0,00%","0,00%"
NCRA11,Títulos e Val. Mob.,"8,25","20,95%","14,33%","0,78",36.794.600,94.386,0,"0,00","0,00","0,00%","0,00%"
NCRI11,Títulos e Val. Mob.,"9,20","11,90%","11,15%","0,91",36.340.000,1.852,0,"0,00","0,00","0,00%","0,00%"
NEWL11,Híbrido,"111,00","17,14%","9,27%","0,84",312.733.000,428.774,3,"3.209,09","487,21","15,18%","0,00%"
NEWU11,Híbrido,"80,26","1,41%","2,10%","1,12",59.552.900,17.87,3,"4.241,36","422,60","9,96%","47,02%"
NEXG11,Outros,"115,90","2,79%","6,25%","1,21",21.625.200,46.199,0,"0,00","0,00","0,00%","0,00%"
NSLU11,Hospital,"168,30","11,43%","9,61%","0,82",217.660.000,113.52,1,"8.878,63","1.083,14","12,20%","0,00%"
NVHO11,Hospital,"12,75","12,38%","6,87%","0,83",529.055.000,5.035,4,"17.122,50","2.192,84","12,81%","0,00%"
OCRE11,Títulos e Val. Mob.,"101,00","5,97%","7,74%","1,02",42.721.600,8.939,0,"0,00","0,00","0,00%","0,00%"
OIAG11,Títulos e Val. Mob.,"7,84","15,15%","14,58%","0,79",70.818.700,215.529,0,"0,00","0,00","0,00%","0,00%"
OUJP11,Híbrido,"78,35","14,23%","11,81%","0,79",254.824.000,561.292,0,"0,00","0,00","0,00%","0,00%"
OULG11,Logística,"30,50","16,66%","4,60%","0,48",75.679.200,71.699,2,"1.009,56","219,47","21,74%","0,00%"
PATA11,Outros,"10,39","1,27%","0,00%","1,03",17.683.900,18.199,0,"0,00","0,00","0,00%","0,00%"
PATC11,Lajes Corporativas,"35,00","5,30%","13,00%","0,85",121.710.000,82.396,4,"15.602,80","1.215,14","7,79%","0,00%"
PATL11,Logística,"58,39","12,64%","10,40%","0,59",291.456.000,483.225,4,"1.875,52","291,88","15,56%","0,00%"
PEMA11,Títulos e Val. Mob.,"42,00","18,69%","11,71%","0,62",23.184.000,568,0,"0,00","0,00","0,00%","0,00%"
PLCA11,Títulos e Val. Mob.,"75,01","21,41%","12,90%","0,79",41.782.000,151.806,0,"0,00","0,00","0,00%","0,00%"
PLCR11,Títulos e Val. Mob.,"80,21","20,29%","10,15%","0,87",169.176.000,300.498,0,"0,00","0,00","0,00%","0,00%"
PLRI11,Títulos e Val. Mob.,"13,39","-4,25%","39,08%","0,66",12.778.100,3.79,0,"0,00","0,00","0,00%","0,00%"
PMFO11,Híbrido,"90,22","0,33%","10,58%","0,97",71.932.000,17.169,0,"0,00","0,00","0,00%","0,00%"
PMIS11,Títulos e Val. Mob.,"9,20","5,34%","7,23%","0,97",136.190.000,268.465,0,"0,00","0,00","0,00%","0,00%"
PNCR11,Residencial,"68,03","-0,37%","10,57%","1,00",34.015.000,6.958,1,"26.734,30","0,00","0,00%","0,00%"
PNPR11,Híbrido,"75,50","10,65%","2,83%","0,99",67.785.200,78,1,"3.860,54","581,47","15,06%","0,00%"
PNRC11,Híbrido,"105,95","6,26%","13,29%","1,05",43.450.100,2,3,"10.717,80","0,00","0,00%","0,00%"
PORD11,Títulos e Val. Mob.,"8,14","13,23%","11,90%","0,85",303.490.000,695.503,0,"0,00","0,00","0,00%","0,00%"
PQAG11,Logística,"59,96","9,25%","7,93%","1,04",838.954.000,229.634,1,"13.289,10","1.177,27","8,86%","0,00%"
PQDP11,Shoppings,"1.900,00","21,51%","5,04%","0,55",191.066.000,139.633,1,"1.442,46","233,37","16,18%","1,67%"
PRSN11,Residencial,"1,39","-21,39%","10,83%","0,41",4.491.430,898,2,"8.623,58","0,00","0,00%","0,00%"
PRSV11,Lajes Corporativas,"58,59","-25,22%","0,00%","0,35",11.993.900,2.336,1,"1.180,39","0,00","0,00%","100,00%"
PULV11,Títulos e Val. Mob.,"9,89","7,09%","1,86%","1,00",118.682.000,119.408,0,"0,00","0,00","0,00%","0,00%"
PVBI11,Lajes Corporativas,"84,23","6,41%","8,32%","0,80",2.285.170.000,7.766.780,7,"22.142,50","1.510,51","6,82%","15,55%"
QAGR11,Outros,"45,75","11,41%","10,70%","0,76",230.580.000,246.527,12,"1.597,22","210,49","13,18%","0,00%"
RBCO11,Lajes Corporativas,"44,00","12,33%","8,39%","0,49",166.276.000,144.616,4,"3.812,31","614,84","16,13%","0,00%"
RBDS11,Residencial,"2,60","-56,56%","0,00%","0,14",328.96,526,0,"0,00","0,00","0,00%","0,00%"
RBED11,Outros,"128,93","12,05%","10,86%","0,89",303.633.000,253.678,7,"3.184,70","394,34","12,38%","0,00%"
RBFF11,Títulos e Val. Mob.,"55,50","10,97%","9,49%","0,85",208.081.000,450.62,0,"0,00","0,00","0,00%","0,00%"
RBHG11,Títulos e Val. Mob.,"80,05","9,87%","10,98%","0,90",173.545.000,408.456,0,"0,00","0,00","0,00%","0,00%"
RBHY11,Títulos e Val. Mob.,"85,77","12,74%","12,19%","0,92",162.406.000,204.223,0,"0,00","0,00","0,00%","0,00%"
RBIR11,Residencial,"82,00","1,76%","0,91%","0,81",125.346.000,131.723,0,"0,00","0,00","0,00%","0,00%"
RBLG11,Logística,"60,00","18,58%","12,19%","0,82",38.411.900,3.87,1,"337,97","33,54","9,92%","0,00%"
RBOP11,Outros,"368,01","15,08%","13,35%","0,48",37.413.400,38.763,2,"1.984,80","212,64","10,71%","78,44%"
RBRD11,,"35,82","11,49%","10,32%","0,56",66.331.000,59.869,4,"2.403,35","362,99","15,10%","27,96%"
RBRF11,Títulos e Val. Mob.,"7,02","9,67%","9,15%","0,81",960.390.000,2.566.150,0,"0,00","0,00","0,00%","0,00%"
RBRI11,Híbrido,"916,82","7,32%","10,47%","0,79",128.048.000,408,0,"0,00","0,00","0,00%","0,00%"
RBRL11,Logística,"75,98","10,28%","10,07%","0,74",508.081.000,353.586,5,"2.252,00","264,27","11,74%","0,00%"
RBRP11,Outros,"51,61","5,31%","9,50%","0,66",628.568.000,1.059.160,6,"9.564,05","649,92","6,80%","0,00%"
RBRR11,Títulos e Val. Mob.,"87,15","8,53%","10,28%","0,93",1.312.240.000,2.951.960,0,"0,00","0,00","0,00%","0,00%"
RBRS11,Híbrido,"41,96","3,72%","1,93%","0,46",72.771.200,42.756,3,"6.989,80","558,15","7,99%","80,76%"
RBRX11,Títulos e Val. Mob.,"8,40","6,84%","13,17%","0,87",247.537.000,926.265,0,"0,00","0,00","0,00%","0,00%"
RBRY11,Títulos e Val. Mob.,"95,40","8,44%","11,88%","0,98",1.218.210.000,3.560.990,0,"0,00","0,00","0,00%","0,00%"
RBTS11,Outros,"600,00","-2,89%","7,19%","1,01",33.915.000,8.945,0,"0,00","0,00","0,00%","0,00%"
RBVA11,Outros,"101,70","8,98%","10,14%","0,94",1.269.760.000,1.617.300,71,"6.148,54","756,97","12,31%","5,39%"
RBVO11,Lajes Corporativas,"8,90","4,04%","63,15%","1,59",4.590.830,126.11,0,"0,00","0,00","0,00%","0,00%"
RCFF11,Títulos e Val. Mob.,"102,00","1,55%","1,75%","0,96",32.966.400,328,0,"0,00","0,00","0,00%","0,00%"
RCRB11,Lajes Corporativas,"129,64","3,86%","7,92%","0,63",478.462.000,970.319,9,"11.752,10","1.123,58","9,56%","1,77%"
RECR11,Títulos e Val. Mob.,"76,16","13,30%","12,40%","0,82",2.013.800.000,2.538.380,1,"37.871,20","0,00","0,00%","100,02%"
RECT11,Híbrido,"31,60","15,37%","13,47%","0,34",269.974.000,348.163,9,"3.546,63","796,97","22,47%","10,08%"
RECX11,Títulos e Val. Mob.,"67,99","10,99%","8,32%","0,91",14.843.100,9.648,0,"0,00","0,00","0,00%","0,00%"
REIT11,Títulos e Val. Mob.,"101,01","8,98%","9,99%","0,35",2.655.650,349,0,"0,00","0,00","0,00%","0,00%"
RELG11,Híbrido,"56,70","9,48%","1,01%","0,45",75.669.700,191.389,5,"1.061,24","177,23","16,70%","10,03%"
RFOF11,Títulos e Val. Mob.,"66,20","10,00%","11,31%","0,87",71.374.500,95.216,0,"0,00","0,00","0,00%","0,00%"
RINV11,Títulos e Val. Mob.,"107,03","3,55%","11,52%","0,99",207.493.000,572.826,0,"0,00","0,00","0,00%","0,00%"
RMAI11,Híbrido,"75,50","0,90%","5,69%","0,74",184.507.000,60.563,2,"4.425,49","210,72","4,76%","18,27%"
RNDP11,Títulos e Val. Mob.,"44,54","5,43%","112,13%","0,57",4.787.200,10.868,0,"0,00","0,00","0,00%","0,00%"
RNGO11,Lajes Corporativas,"46,97","10,12%","8,52%","0,57",125.692.000,117.051,4,"2.190,90","294,70","13,45%","14,63%"
RPRI11,Títulos e Val. Mob.,"87,21","9,86%","11,91%","0,87",302.769.000,518.284,0,"0,00","0,00","0,00%","0,00%"
RRCI11,Títulos e Val. Mob.,"75,17","13,04%","13,00%","0,82",36.213.700,44.531,0,"0,00","0,00","0,00%","0,00%"
RSPD11,Residencial,"1.059,99","-1,98%","5,26%","0,96",157.950.000,501,0,"0,00","0,00","0,00%","0,00%"
RURA11,Títulos e Val. Mob.,"9,09","12,94%","11,92%","0,91",1.455.300.000,3.179.020,0,"0,00","0,00","0,00%","0,00%"
RVBI11,Títulos e Val. Mob.,"70,77","5,66%","11,82%","0,86",727.233.000,1.873.690,0,"0,00","0,00","0,00%","0,00%"
RZAG11,Títulos e Val. Mob.,"8,13","24,11%","13,52%","0,85",553.169.000,1.673.280,0,"0,00","0,00","0,00%","0,00%"
RZAK11,Títulos e Val. Mob.,"78,98","15,78%","15,34%","0,88",695.647.000,2.577.160,0,"0,00","0,00","0,00%","0,00%"
RZAT11,Híbrido,"97,89","-63,51%","12,24%","0,96",362.993.000,1.087.500,13,"1.635,94","108,66","6,64%","3,26%"
RZEO11,Outros,"237,68","12,48%","4,83%","1,04",749.387.000,2.676,0,"0,00","0,00","21,84%","0,00%"
RZTR11,Híbrido,"89,48","13,66%","11,44%","0,90",1.686.850.000,4.561.770,17,"2,48","0,35","13,94%","24,40%"
SADI11,Títulos e Val. Mob.,"87,19","13,51%","11,02%","0,91",135.030.000,372.309,0,"0,00","0,00","0,00%","0,00%"
SAPI11,Títulos e Val. Mob.,"87,79","8,16%","9,18%","0,89",135.520.000,352.212,0,"0,00","0,00","0,00%","0,00%"
SARE11,Híbrido,"39,29","12,41%","9,44%","0,45",362.817.000,811.693,3,"1.798,62","267,30","14,86%","0,00%"
SCPF11,Híbrido,"2,37","6,58%","4,65%","0,20",9.954.000,4.356,1,"2.092,29","686,28","32,80%","33,90%"
SEED11,Híbrido,"100,00","10,39%","9,82%","1,07",164.000.000,35.3,0,"0,00","0,00","0,00%","0,00%"
SEQR11,Outros,"50,94","14,86%","13,81%","0,55",84.850.500,133.783,4,"2.010,08","357,06","17,76%","0,00%"
SHOP11,Híbrido,"54,49","-0,79%","0,00%","1,35",80.714.200,60,1,"3.241,40","242,52","7,48%","18,13%"
SHPH11,Shoppings,"860,00","6,61%","6,38%","0,93",523.697.000,169.972,1,"14.938,10","1.221,93","8,18%","3,89%"
SJAU11,Logística,"50,00","23,54%","19,48%","0,80",396.612.000,1.552,0,"0,00","0,00","0,00%","0,00%"
SMRE11,Outros,"100,00","-0,07%","4,17%","0,91",44.787.000,118.59,0,"0,00","0,00","0,00%","0,00%"
SNAG11,Híbrido,"9,99","10,40%","11,67%","0,99",521.963.000,1.666.280,3,"138,50","9,78","7,06%","0,00%"
SNCI11,Títulos e Val. Mob.,"90,80","12,30%","11,93%","0,92",381.360.000,871.653,0,"0,00","0,00","0,00%","0,00%"
SNEL11,Híbrido,"9,21","2,92%","10,45%","1,29",174.052.000,698.609,1,"0,00","0,00","0,09%","0,00%"
SNFF11,Títulos e Val. Mob.,"89,38","7,74%","11,21%","1,00",252.945.000,613.756,0,"0,00","0,00","0,00%","0,00%"
SNFZ11,Híbrido,"10,06","0,06%","0,54%","1,00",62.372.000,334.985,2,"40.790,70","0,00","0,00%","0,00%"
SNLG11,Híbrido,"30,82","3,15%","4,12%","0,68",77.973.600,405.742,1,"13.486,60","103,90","0,77%","0,00%"
SNME11,Híbrido,"9,60","8,15%","9,52%","0,99",71.215.100,43.895,0,"0,00","0,00","0,00%","0,00%"
SPDE11,Residencial,"1.237,90","-0,38%","0,00%","1,16",113.144.000,3.854,0,"0,00","0,00","0,00%","0,00%"
SPTW11,Lajes Corporativas,"37,10","17,47%","12,39%","0,65",66.705.800,79.67,1,"4.668,77","969,32","20,76%","0,00%"
SPXS11,Híbrido,"9,15","9,77%","11,74%","0,96",184.730.000,540.345,0,"0,00","0,00","0,00%","0,00%"
TEPP11,Lajes Corporativas,"85,89","1,89%","10,29%","0,88",362.625.000,883.669,5,"10.744,00","988,41","9,20%","0,00%"
TGAR11,Híbrido,"106,09","10,65%","12,70%","0,93",2.500.330.000,10.583.300,5,"68,66","0,89","1,29%","0,00%"
TJKB11,Lajes Corporativas,"295,01","9,88%","10,34%","1,09",233.833.000,2.177,7,"8.781,44","944,41","10,75%","0,00%"
TMPS11,Títulos e Val. Mob.,"86,81","7,65%","11,52%","0,87",84.984.200,175.834,0,"0,00","0,00","0,00%","0,00%"
TORD11,Híbrido,"1,01","0,07%","0,00%","0,15",35.401.900,88.993,1,"455,98","0,00","0,00%","0,00%"
TRBL11,Logística,"90,45","6,35%","9,35%","0,90",700.001.000,900.212,6,"1.761,13","290,96","16,52%","0,00%"
TRNT11,Lajes Corporativas,"100,00","5,69%","2,08%","0,50",393.556.000,24.584,1,"6.198,70","610,47","9,85%","42,50%"
TRXB11,Híbrido,"141,99","7,34%","8,42%","1,16",455.188.000,3.309,15,"1.293,61","190,63","14,74%","0,00%"
TRXF11,Híbrido,"104,00","-2,86%","9,84%","0,97",2.083.700.000,6.694.900,29,"3.976,87","392,12","9,86%","0,00%"
TVRI11,Lajes Corporativas,"96,88","11,03%","10,16%","0,95",1.542.300.000,1.041.940,62,"3.842,75","501,92","13,06%","4,57%"
URHF11,Títulos e Val. Mob.,"115,00","4,23%","2,15%","1,17",12.698.000,6.601,0,"0,00","0,00","0,00%","0,00%"
URPR11,Outros,"67,40","15,11%","16,07%","0,66",790.865.000,1.916.740,0,"0,00","0,00","0,00%","0,00%"
VCJR11,Títulos e Val. Mob.,"88,98","13,21%","10,75%","0,93",1.310.140.000,1.984.720,0,"0,00","0,00","0,00%","0,00%"
VCRA11,Títulos e Val. Mob.,"71,90","20,91%","14,74%","0,69",330.303.000,833.488,0,"0,00","0,00","0,00%","0,00%"
VCRI11,Títulos e Val. Mob.,"7,97","12,37%","11,81%","0,83",141.653.000,229.111,0,"0,00","0,00","0,00%","0,00%"
VCRR11,Logística,"65,52","11,77%","10,68%","0,50",131.040.000,274.672,4,"2.323,03","175,51","7,56%","0,00%"
VGHF11,Híbrido,"7,93","5,21%","12,21%","0,88",1.306.240.000,3.867.790,0,"0,00","0,00","0,00%","0,00%"
VGIA11,Títulos e Val. Mob.,"8,94","17,02%","13,49%","0,96",772.909.000,2.436.170,0,"0,00","0,00","0,00%","0,00%"
VGIP11,Títulos e Val. Mob.,"85,22","11,54%","11,14%","0,93",1.004.510.000,1.706.290,0,"0,00","0,00","0,00%","0,00%"
VGIR11,Títulos e Val. Mob.,"9,83","9,53%","12,26%","1,01",1.436.180.000,4.871.170,0,"0,00","0,00","0,00%","0,00%"
VGRI11,,"8,95","3,76%","7,85%","0,92",299.721.000,507.699,5,"5.541,69","245,96","4,44%","6,51%"
VIFI11,Títulos e Val. Mob.,"7,36","11,24%","10,21%","0,82",59.536.400,99.279,0,"0,00","0,00","0,00%","0,00%"
VILG11,Logística,"82,90","9,06%","7,87%","0,73",1.243.280.000,2.009.130,15,"2.181,48","232,97","10,68%","6,58%"
VINO11,Lajes Corporativas,"5,05","11,44%","11,82%","0,47",418.273.000,954.075,10,"6.121,79","1.139,65","18,62%","2,20%"
VISC11,Shoppings,"105,55","7,25%","9,43%","0,83",3.042.860.000,5.174.940,29,"2.990,80","247,76","8,28%","5,47%"
VIUR11,Outros,"6,20","13,03%","11,39%","0,70",167.067.000,306.034,8,"2.578,90","318,75","12,36%","3,11%"
VJFD11,Híbrido,"155,02","5,91%","0,00%","1,00",755.898.000,1.945,39,"788,57","49,08","6,22%","0,00%"
VOTS11,Títulos e Val. Mob.,"74,91","15,54%","11,58%","0,80",62.019.000,5.532,0,"0,00","0,00","0,00%","0,00%"
VPSI11,Shoppings,"13,67","16,70%","4,47%","0,43",110.343.000,3,16,"896,91","153,00","17,06%","0,00%"
VRTA11,Títulos e Val. Mob.,"83,45","11,42%","10,22%","0,91",1.301.190.000,1.745.060,0,"0,00","0,00","0,00%","0,00%"
VRTM11,Títulos e Val. Mob.,"7,79","2,20%","10,12%","0,81",365.906.000,637.54,1,"113.892,00","0,00","0,00%","0,00%"
VSHO11,Shoppings,"70,18","11,70%","9,67%","0,68",147.294.000,72.219,3,"1.929,54","441,20","22,87%","7,84%"
VSLH11,Outros,"3,43","10,17%","12,61%","0,32",102.434.000,177,0,"0,00","0,00","0,00%","0,00%"
VTLT11,Logística,"91,00","12,23%","10,37%","0,81",192.465.000,106.003,1,"747,46","103,58","13,86%","0,00%"
VVCR11,Títulos e Val. Mob.,"9,69","7,05%","9,13%","0,91",72.755.700,161.017,0,"0,00","0,00","0,00%","0,00%"
VVMR11,Híbrido,"86,99","6,68%","6,81%","0,78",241.154.000,226.191,5,"8.072,23","670,09","8,30%","2,83%"
VVRI11,Híbrido,"97,87","7,36%","12,26%","0,97",78.558.600,100.851,2,"5.024,86","474,10","9,43%","0,00%"
VXXV11,Outros,"673,00","-1,16%","35,50%","1,02",180.866.000,28.985,0,"0,00","0,00","0,00%","0,00%"
WHGR11,Híbrido,"9,32","10,49%","10,94%","0,96",288.103.000,413.735,0,"0,00","0,00","0,00%","0,00%"
WPLZ11,Shoppings,"57,54","8,67%","7,32%","0,65",61.254.100,5.01,1,"1.652,41","153,44","9,29%","11,38%"
WSEC11,Títulos e Val. Mob.,"8,57","13,41%","12,23%","0,84",21.052.300,40.998,0,"0,00","0,00","0,00%","0,00%"
WTSP11,Híbrido,"57,45","7,51%","7,61%","0,71",57.022.900,13.414,1,"4.622,46","331,18","7,16%","4,11%"
XPCA11,Títulos e Val. Mob.,"7,34","16,87%","14,42%","0,77",334.139.000,1.579.050,0,"0,00","0,00","0,00%","0,00%"
XPCI11,Títulos e Val. Mob.,"82,93","12,42%","10,86%","0,91",721.620.000,1.889.890,0,"0,00","0,00","0,00%","0,00%"
XPCM11,Híbrido,"7,39","-2,17%","2,14%","0,26",17.843.700,14.922,1,"880,38","16,83","1,91%","78,34%"
XPIN11,Outros,"73,39","9,58%","9,67%","0,70",524.769.000,400.884,96,"1.988,43","221,02","11,12%","12,82%"
XPLG11,Logística,"99,84","8,48%","7,44%","0,89",2.956.590.000,3.571.760,16,"3.048,45","270,97","8,89%","3,62%"
XPML11,Shoppings,"107,35","6,42%","9,58%","0,90",5.938.620.000,16.309.000,20,"5.689,83","351,16","6,17%","5,45%"
XPPR11,Outros,"16,79","5,53%","4,98%","0,27",122.839.000,148.273,2,"2.257,63","473,29","20,96%","45,23%"
XPSF11,Títulos e Val. Mob.,"6,86","11,79%","11,07%","0,83",297.053.000,672.609,0,"0,00","0,00","0,00%","0,00%"
ZAGH11,Híbrido,"12,05","4,68%","2,81%","1,23",55.983.800,481,0,"0,00","0,00","0,00%","0,00%"
ZAVC11,Títulos e Val. Mob.,"9,90","2,15%","5,87%","0,99",30.663.700,62,0,"0,00","0,00","0,00%","0,00%"
ZAVI11,Híbrido,"106,69","12,54%","12,43%","0,83",125.182.000,172.239,10,"1.862,02","224,00","12,03%","0,73%"
ZIFI11,Híbrido,"720,00","-2,05%","0,00%","0,41",34.189.200,3.811,0,"0,00","0,00","0,00%","0,00%"
